AAAAMMJJ,RR,TNTXM,TNTXM_moy_mois,GLOT_moy_mois
19900223,0,9.6,8.07857142857143,564.25
19900224,0,12.2,8.07857142857143,564.25
19900225,2.2,9.5,8.07857142857143,564.25
19900226,32.4,9.6,8.07857142857143,564.25
19900227,1.6,6.2,8.07857142857143,564.25
19900228,11.6,7.6,8.07857142857143,564.25
19900301,2,4.7,8.21612903225807,1018.67741935484
19900302,2.2,2.2,8.21612903225807,1018.67741935484
19900303,0,4.3,8.21612903225807,1018.67741935484
19900304,0,3.6,8.21612903225807,1018.67741935484
19900305,0,5.1,8.21612903225807,1018.67741935484
19900306,0,6.1,8.21612903225807,1018.67741935484
19900307,0,9.2,8.21612903225807,1018.67741935484
19900308,0,9.8,8.21612903225807,1018.67741935484
19900309,0,8.9,8.21612903225807,1018.67741935484
19900310,0,10.5,8.21612903225807,1018.67741935484
19900311,0,11.4,8.21612903225807,1018.67741935484
19900312,0,9.6,8.21612903225807,1018.67741935484
19900313,0.4,6.8,8.21612903225807,1018.67741935484
19900314,0,8.7,8.21612903225807,1018.67741935484
19900315,0,7.7,8.21612903225807,1018.67741935484
19900316,0,10.1,8.21612903225807,1018.67741935484
19900317,0,13.3,8.21612903225807,1018.67741935484
19900318,0,12.3,8.21612903225807,1018.67741935484
19900319,0,12.6,8.21612903225807,1018.67741935484
19900320,0.2,13.6,8.21612903225807,1018.67741935484
19900321,0,13.4,8.21612903225807,1018.67741935484
19900322,3.4,9.9,8.21612903225807,1018.67741935484
19900323,0,6.1,8.21612903225807,1018.67741935484
19900324,1,8.8,8.21612903225807,1018.67741935484
19900325,0.6,4.8,8.21612903225807,1018.67741935484
19900326,1.4,5,8.21612903225807,1018.67741935484
19900327,0,5.7,8.21612903225807,1018.67741935484
19900328,0,5.1,8.21612903225807,1018.67741935484
19900329,0,7.5,8.21612903225807,1018.67741935484
19900330,0,7.3,8.21612903225807,1018.67741935484
19900331,0,10.6,8.21612903225807,1018.67741935484
19900401,0,12.4,8.23333333333333,1630.7
19900402,8,10.3,8.23333333333333,1630.7
19900403,2.4,7,8.23333333333333,1630.7
19900404,0.4,3.8,8.23333333333333,1630.7
19900405,0,3.5,8.23333333333333,1630.7
19900406,0,5.8,8.23333333333333,1630.7
19900407,0,7.3,8.23333333333333,1630.7
19900408,0,5.9,8.23333333333333,1630.7
19900409,0,4.6,8.23333333333333,1630.7
19900410,0,5,8.23333333333333,1630.7
19900411,0,10.1,8.23333333333333,1630.7
19900412,0,9.4,8.23333333333333,1630.7
19900413,7.8,10.2,8.23333333333333,1630.7
19900414,7.4,7.2,8.23333333333333,1630.7
19900415,0.2,8.1,8.23333333333333,1630.7
19900416,0.8,7.4,8.23333333333333,1630.7
19900417,3,7.1,8.23333333333333,1630.7
19900418,0.8,5.4,8.23333333333333,1630.7
19900419,9,4.9,8.23333333333333,1630.7
19900420,5.4,5,8.23333333333333,1630.7
19900421,0.4,9.6,8.23333333333333,1630.7
19900422,1.8,11.1,8.23333333333333,1630.7
19900423,0,11.5,8.23333333333333,1630.7
19900424,10.2,10.8,8.23333333333333,1630.7
19900425,0,11,8.23333333333333,1630.7
19900426,1.2,10.5,8.23333333333333,1630.7
19900427,0.2,10.7,8.23333333333333,1630.7
19900428,0,5.8,8.23333333333333,1630.7
19900429,0,10.8,8.23333333333333,1630.7
19900430,0,14.8,8.23333333333333,1630.7
19900501,0,16.7,13.9967741935484,2259.1935483871
19900502,0,17.5,13.9967741935484,2259.1935483871
19900503,0,18.7,13.9967741935484,2259.1935483871
19900504,0,16.7,13.9967741935484,2259.1935483871
19900505,0,17.8,13.9967741935484,2259.1935483871
19900506,0,18.2,13.9967741935484,2259.1935483871
19900507,0,15.9,13.9967741935484,2259.1935483871
19900508,0,14.7,13.9967741935484,2259.1935483871
19900509,0,14.8,13.9967741935484,2259.1935483871
19900510,0,13.1,13.9967741935484,2259.1935483871
19900511,2.2,9.7,13.9967741935484,2259.1935483871
19900512,0.2,10.9,13.9967741935484,2259.1935483871
19900513,0,9.7,13.9967741935484,2259.1935483871
19900514,0,12.3,13.9967741935484,2259.1935483871
19900515,0,15.3,13.9967741935484,2259.1935483871
19900516,0,13.7,13.9967741935484,2259.1935483871
19900517,0,12.8,13.9967741935484,2259.1935483871
19900518,0,13.6,13.9967741935484,2259.1935483871
19900519,0,13,13.9967741935484,2259.1935483871
19900520,0,15.1,13.9967741935484,2259.1935483871
